Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
36.53411538,2.7071310306214643e-06,1.7010965692781498e-06,2.18687109133758e-06,2.190059608471783e-06,2.272698405058987e-05,1.9998671964930995e-06,31.181365380000003
36.53463462,2.706684123242915e-06,1.706709639184586e-06,2.1876767102948486e-06,2.1905620301396884e-06,2.2728333416839063e-05,2.000257465653349e-06,31.181884619999998
36.53515385,2.7053613980106725e-06,1.712417278131636e-06,2.187277395859868e-06,2.187656068768704e-06,2.272650582234817e-05,1.997999814606176e-06,31.18240385
36.53567308,2.7052508306013624e-06,1.7105155224887458e-06,2.1904026372295e-06,2.183288458669159e-06,2.271486558432906e-05,1.996794244182263e-06,31.182923080000002
36.53619231,2.71133903170787e-06,1.701606034056194e-06,2.19446370435352e-06,2.183936669503258e-06,2.269429563121553e-05,1.9966812699525805e-06,31.183442309999997
36.53671154,2.710477496764159e-06,1.6971607726863557e-06,2.193153892260676e-06,2.1761995999586744e-06,2.267681191499735e-05,1.996673203418417e-06,31.18396154
36.53723077,2.703524815017381e-06,1.6997125735563825e-06,2.1845149838500207e-06,2.157488228821896e-06,2.266544032765105e-05,1.9976711184449705e-06,31.18448077
36.53775,2.7028408071423406e-06,1.706333858859216e-06,2.1673457210876096e-06,2.144189201193852e-06,2.2650281528109705e-05,2.004661339571496e-06,31.185000000000002
36.53826923,2.700329348327032e-06,1.7121615931053906e-06,2.152373770725058e-06,2.1397969532323624e-06,2.261406276614562e-05,2.0191583518366965e-06,31.185519229999997
36.53878846,2.697477571833453e-06,1.7109816299162878e-06,2.1486049502024616e-06,2.138054993695692e-06,2.255174884795208e-05,2.030752137496045e-06,31.18603846
36.53930769,2.701391351409808e-06,1.7077072428608792e-06,2.148557410598415e-06,2.1370456285714948e-06,2.249661503458894e-05,2.0306744246437085e-06,31.18655769
36.53982692,2.70249667953018e-06,1.7087474017348838e-06,2.152884631174273e-06,2.137079404256355e-06,2.2477172899201255e-05,2.022490932908965e-06,31.187076920000003
36.54034615,2.7018754209020805e-06,1.7118158885709528e-06,2.170640124238226e-06,2.1374798097956818e-06,2.2477295697165787e-05,2.0135240410904323e-06,31.187596149999997
36.54086538,2.7103831895116352e-06,1.713590911121426e-06,2.1965783368100634e-06,2.138502910859684e-06,2.2474874205477324e-05,2.006693104266953e-06,31.18811538
36.54138462,2.72199984130416e-06,1.7135198083223806e-06,2.212663696272543e-06,2.1382213685088e-06,2.2469669274508343e-05,2.0018540072779767e-06,31.188634620000002
36.54190385,2.724978588755655e-06,1.7129998692711736e-06,2.213957307897221e-06,2.138265758792953e-06,2.2467538983730945e-05,1.9984932155621237e-06,31.189153849999997
36.54242308,2.719526979999612e-06,1.7138862745242774e-06,2.2125950189875063e-06,2.1345113371370834e-06,2.2468086689735528e-05,1.9964702802498858e-06,31.18967308
36.54294231,2.7121098523968e-06,1.7156500949452877e-06,2.21306834558822e-06,2.1180095621298684e-06,2.2467384321615826e-05,1.9955434555514625e-06,31.19019231
36.54346154,2.7181486031092745e-06,1.716423717310314e-06,2.2135456047881382e-06,2.107773758858949e-06,2.24653129997894e-05,1.996313502863828e-06,31.190711540000002
36.54398077,2.7498008512332595e-06,1.7164342153537048e-06,2.210530635375235e-06,2.110180697761484e-06,2.2464941101702105e-05,2.002298089534423e-06,31.191230769999997
36.5445,2.7876866532690475e-06,1.7175562645267931e-06,2.2031379259200776e-06,2.102886591108614e-06,2.246413779977336e-05,2.0148496311761184e-06,31.19175
36.54501923,2.8073093292309224e-06,1.7190253223552794e-06,2.1974995789051437e-06,2.093616933349769e-06,2.2460617182695187e-05,2.0254012434355546e-06,31.19226923
36.54553846,2.81174404569621e-06,1.7191821084846677e-06,2.196191647290269e-06,2.092852690633774e-06,2.2458670031118825e-05,2.02647732082431e-06,31.192788460000003
36.54605769,2.811025666548113e-06,1.7189888297195947e-06,2.1958629491443045e-06,2.093716905526481e-06,2.246064278523336e-05,2.023575686749909e-06,31.193307689999997
36.54657692,2.809113662397794e-06,1.7135342125250268e-06,2.192539312186318e-06,2.103571816325928e-06,2.246316488640464e-05,2.022392884706106e-06,31.19382692
36.54709615,2.809677369424e-06,1.6979621739973756e-06,2.1957107936153238e-06,2.120955506932278e-06,2.2460509411574997e-05,2.021905479254682e-06,31.19434615
36.54761538,2.8123028949402373e-06,1.68324012239707e-06,2.2091256001276464e-06,2.1338701256556323e-06,2.244565421837193e-05,2.0233977211048467e-06,31.194865380000003
36.54813462,2.8125964616283898e-06,1.67968380206464e-06,2.2157033632539877e-06,2.136961793733832e-06,2.2434025994487347e-05,2.0281233309233606e-06,31.19538462
