Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
12.57784615,6.306137246468408e-05,4.4946864882269785e-05,4.434341897604986e-05,1.1717124574148678e-05,3.000596132320721e-05,1.915480627192529e-05,6.296971149999999
12.57836538,6.331967805328083e-05,4.507823693378222e-05,4.428870421366075e-05,1.1740769271992076e-05,2.998801006600374e-05,1.9221923967810483e-05,6.297490379999999
12.57888462,6.364636679788134e-05,4.518630523253549e-05,4.427124126754596e-05,1.1736574074957345e-05,2.9971961186369e-05,1.9230245657046707e-05,6.29800962
12.57940385,6.399622683223073e-05,4.526474014161099e-05,4.43160425422885e-05,1.17091867759677e-05,2.996388290396001e-05,1.922678515912476e-05,6.29852885
12.57992308,6.431269568953943e-05,4.53102786957061e-05,4.447635927791317e-05,1.1661990817813448e-05,2.9964209328996943e-05,1.9228067773144382e-05,6.29904808
12.58044231,6.455856409845542e-05,4.531281204765309e-05,4.474010683525971e-05,1.1596261961055457e-05,2.9950115254611888e-05,1.9228030860607855e-05,6.2995673100000005
12.58096154,6.472770863678585e-05,4.526496442213035e-05,4.497283492435741e-05,1.1515062283602066e-05,2.989948556399003e-05,1.9223269629457093e-05,6.300086540000001
12.58148077,6.483627362804953e-05,4.515486248919323e-05,4.507532909757666e-05,1.1424900819194758e-05,2.9829250739399887e-05,1.922395234345724e-05,6.300605770000001
12.582,6.490130461153534e-05,4.495722162646239e-05,4.508810955782256e-05,1.13330175923869e-05,2.977544573402572e-05,1.927113789751274e-05,6.301125000000001
12.58251923,6.492669288334951e-05,4.466920163090154e-05,4.50793941941403e-05,1.1245931661512178e-05,2.9756748945677094e-05,1.9360333454415838e-05,6.301644230000001
12.58303846,6.49059284590232e-05,4.434462509587901e-05,4.507399643101382e-05,1.1171105960382213e-05,2.975810234325108e-05,1.9419569590784865e-05,6.302163459999999
12.58355769,6.483839730997168e-05,4.403629329672545e-05,4.507557793040742e-05,1.1115505034573389e-05,2.9720693448962505e-05,1.9424184644001924e-05,6.302682689999999
12.58407692,6.475008922720656e-05,4.373229929589199e-05,4.5081216178281647e-05,1.1080403693389415e-05,2.9603837953662185e-05,1.941937660491477e-05,6.303201919999999
12.58459615,6.46922015462869e-05,4.3395178673171785e-05,4.508586988332818e-05,1.1061408325632408e-05,2.9480996282338443e-05,1.9436139246590612e-05,6.303721149999999
12.58511538,6.470463121834392e-05,4.3025162178992216e-05,4.509549523278599e-05,1.1054349985859283e-05,2.94431401350446e-05,1.946101970022056e-05,6.3042403799999995
12.58563462,6.477198420861603e-05,4.268911109742051e-05,4.511996696168903e-05,1.105820555226052e-05,2.9457292140263707e-05,1.946905941211917e-05,6.3047596200000005
12.58615385,6.481937133330231e-05,4.2490528036577965e-05,4.515640368506363e-05,1.1071294162929785e-05,2.946035130004654e-05,1.94551306852935e-05,6.3052788500000005
12.58667308,6.477350060559764e-05,4.246655679507061e-05,4.519236821558295e-05,1.1087851994032585e-05,2.9458563045496936e-05,1.943452011978973e-05,6.305798080000001
12.58719231,6.463298919908243e-05,4.255685719739044e-05,4.521103517225469e-05,1.1104987195622633e-05,2.9473909607674545e-05,1.942065793421192e-05,6.306317310000001
12.58771154,6.447316896346212e-05,4.26889461093137e-05,4.519640805320648e-05,1.1128626393988216e-05,2.9503814243967337e-05,1.9418124587292597e-05,6.306836540000001
12.58823077,6.438434292420958e-05,4.282876517697636e-05,4.5131176022274e-05,1.1165985035774305e-05,2.9539766133535783e-05,1.943216186272724e-05,6.307355769999999
12.58875,6.439519502812758e-05,4.295891995952379e-05,4.498914004110295e-05,1.1216737940373373e-05,2.9578360016227235e-05,1.945732554247713e-05,6.307874999999999
12.58926923,6.446846185400152e-05,4.306262637819985e-05,4.474129346515778e-05,1.1271248877920235e-05,2.9616924791031757e-05,1.94601022604019e-05,6.308394229999999
12.58978846,6.456756530010788e-05,4.313704634172188e-05,4.438002713082712e-05,1.13139931625145e-05,2.965174207410512e-05,1.9397239761850223e-05,6.308913459999999
12.59030769,6.468443861225161e-05,4.3191115100033326e-05,4.394227587788055e-05,1.1331069988090432e-05,2.9681509285672542e-05,1.9256345618064407e-05,6.3094326899999995
12.59082692,6.481247195404026e-05,4.3232354441411146e-05,4.3500861104899707e-05,1.1314678899952667e-05,2.970716145320628e-05,1.9059195988663404e-05,6.30995192
12.59134615,6.49250596507825e-05,4.3264264497257366e-05,4.313213638376524e-05,1.1265581497289878e-05,2.972574262665726e-05,1.8826202786295848e-05,6.31047115
12.59186538,6.498912001617012e-05,4.327733936058432e-05,4.288315620617355e-05,1.1197109771791496e-05,2.9688063319282957e-05,1.8567214539091404e-05,6.31099038
12.59238462,6.500460871071161e-05,4.327722821910792e-05,4.274804865861322e-05,1.1125929082774408e-05,2.947327359908733e-05,1.830998629945059e-05,6.311509620000001
12.59290385,6.501476370505206e-05,4.330502349103558e-05,4.267813962843582e-05,1.10581434581465e-05,2.903590721439146e-05,1.81179927322546e-05,6.312028850000001
12.59342308,6.50468641702555e-05,4.337844243528619e-05,4.262738249637776e-05,1.0994077683305404e-05,2.852299791095408e-05,1.8053450128280462e-05,6.312548080000001
12.59394231,6.505198546985451e-05,4.346344891957206e-05,4.258676495346405e-05,1.0936114671699113e-05,2.8088064146874857e-05,1.811553100897621e-05,6.313067309999999
12.59446154,6.495521099766542e-05,4.353017315252929e-05,4.258411285332208e-05,1.0888133235527396e-05,2.7712747560894984e-05,1.8230719911012795e-05,6.313586539999999
12.59498077,6.476567654360158e-05,4.3595023626675376e-05,4.2651515774149534e-05,1.0857153503413166e-05,2.72887450721013e-05,1.830559709716313e-05,6.314105769999999
12.5955,6.45756073629758e-05,4.369596378317175e-05,4.278023423569485e-05,1.085119349157789e-05,2.6835101368096005e-05,1.8293850985225303e-05,6.3146249999999995
12.59601923,6.445043376164366e-05,4.385572065855464e-05,4.293175209547753e-05,1.087204554288816e-05,2.664962183498222e-05,1.8215022352164808e-05,6.31514423
12.59653846,6.437648207320602e-05,4.407998572248075e-05,4.309686370753789e-05,1.0915009379374808e-05,2.66282205046919e-05,1.8125593749746814e-05,6.31566346
12.59705769,6.430309457216198e-05,4.436850468028332e-05,4.329764507215658e-05,1.0972427770623854e-05,2.55612863728452e-05,1.807991417311212e-05,6.31618269
12.59757692,6.419011586251573e-05,4.471299777845823e-05,4.354585772854219e-05,1.1035219329796345e-05,2.279263739533357e-05,1.808668515928078e-05,6.31670192
12.59809615,6.40314967457516e-05,4.5084894485580864e-05,4.383082170028128e-05,1.1094770355688773e-05,2.0052335601088142e-05,1.8108655166606338e-05,6.31722115
