Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
21.05117308,4.462661175742397e-05,4.978242887046315e-05,0.0001273195718076,1.6322896360565132e-05,0.0002131759975085,8.437761499039592e-06,14.918798080000002
21.05169231,4.457021390417345e-05,4.979123584861613e-05,0.0001271966326039,1.6325547929125127e-05,0.0002151441399997,8.45695891993931e-06,14.91931731
21.05221154,4.458259962110626e-05,4.976637247455628e-05,0.0001271405476463,1.632727654940581e-05,0.0002166918684574,8.481185983021771e-06,14.919836539999999
21.05273077,4.4631119090634144e-05,4.954764596309081e-05,0.0001271141687811,1.632887448807635e-05,0.0002166303206044,8.504895753555359e-06,14.92035577
21.05325,4.466497534775812e-05,4.894856791702653e-05,0.0001271221932411,1.6332095015592032e-05,0.0002153795133559,8.526011989584568e-06,14.920874999999999
21.05376923,4.4674780179229366e-05,4.794073699638614e-05,0.000127222272268,1.6333781370977216e-05,0.0002141691341108,8.542382692731592e-06,14.92139423
21.05428846,4.4676413884547325e-05,4.667048514380104e-05,0.0001274394461021,1.6332989689212926e-05,0.0002137259705892,8.546108616579561e-06,14.921913459999999
21.05480769,4.466602196809159e-05,4.5361504965840506e-05,0.0001276430222442,1.632944239356667e-05,0.0002137986009125,8.548191135896344e-06,14.92243269
21.05532692,4.461693813224652e-05,4.421821129828736e-05,0.0001277435488317,1.6328187901513495e-05,0.0002138670983729,8.562595400493145e-06,14.92295192
21.05584615,4.449779453252877e-05,4.3349744326924255e-05,0.0001278479830132,1.6341290537339817e-05,0.0002138872713635,8.572389285609216e-06,14.923471150000001
21.05636538,4.429270733761566e-05,4.275277157306132e-05,0.0001280390575855,1.636252627114958e-05,0.0002142232222868,8.57107540477023e-06,14.92399038
21.05688462,4.403583193921996e-05,4.236786682744391e-05,0.000128286741045,1.637157070572876e-05,0.000214577460018,8.57603792200623e-06,14.924509620000002
21.05740385,4.3826421117329325e-05,4.213840498642431e-05,0.0001285732112968,1.6371371000032385e-05,0.0002144111674967,8.5899540500083e-06,14.92502885
